tarih,fonKodu,bb,byf,d,db,bpp,btaa,btas,dt,dot,eut,fb,fkb,gas,gsykb,gsyy,gykb,gyy,hb,hs,kba,kh,khau,khd,khtl,kks,kksd,kkstl,kksyd,km,kmbyf,kmkba,kmkks,kibd,osks,ost,r,t,tpp,tr,vdm,vm,vmau,vmd,vmtl,vint,yba,ybkb,ybosb,ybyf,yhs,ymk,yyf,oksyd,osdb
2026-08-31,AP6,,,,,-1.38,,,,,,,,,,,,,,101.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31,AP7,,,-0.01,,,,,,,,,,,,,,,,60.32,,,,,,,,,,,,,,,,,,,,,,,,,,39.69,,,,,,,,,
2026-08-31,APJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33,,,,,,2.86,,,,,,,94.81,,
2026-08-31,APP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.57,,82.43,,
2026-08-31,APT,,,,,,,,89.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,,,0.03,7.76,,,,,,,,,,,,,,,
2026-08-31,ARE,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,4.13,,90.99,,3.64,,
2026-08-31,ARF,,,,,,,,17.27,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,,,,,,,,,75.86,,,,,,,,5.7,,
2026-08-31,ARL,,12.67,,,,,,0.01,,,,,,3.96,,0.83,,,,,,,,,,,,,,,,,,,,,,1.99,,,,,,,1.71,,,,3.73,9.42,,65.68,,
2026-08-31,ARM,,21.05,,,,,,,,,,,,1.76,,1.66,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,2.07,,,,6.04,14.94,,51.64,,
2026-08-31,ARP,,,,,,,,,,,,,,,,,,,76.11,,,,,,,,,,,,,,,,,,,,,,,,,23.87,,,,,,,,0.02,,
2026-08-31,AS1,,,,,,,,,,,,,,,,,,,,,,,76.51,,,,,,,,,,,,,,,,,,,,,,,,,,5.51,1.56,,16.42,,
2026-08-31,AS3,,,,,,,,,,,,,,,,,,,55.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.99,,
2026-08-31,ASJ,,,,,,,,,,,,,,,,,,,91.33,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,7.97,,
2026-08-31,ATJ,,,,,,,,0.25,,,,,,,,,,,96.55,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2.2,,
2026-08-31,AU1,,5.74,,,,,,,,,,,,,,,,,2.73,,,,,,,,,,89.21,,,,,,,,,0.84,,,,,,,1.48,,,,,,,,,
2026-08-31,AUV,,,,,,,,,,,,,,,,,,,,78.98,,,,,,,,,,,,,,,,,,,,,,,2.26,,,,,,,,,,,18.76
2026-08-31,AVC,,,,,,,,,,,,,,,,,,,83.51,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,15.97,,
2026-08-31,AVT,,,,,,,,41.91,,,19.37,,,,,,,,,,,,,,,,0.83,,,,,,,2.52,22.98,,,,6.15,,,,,6.24,,,,,,,,,,
2026-08-31,AVZ,,,,,,,,,,,,,,,,,,,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,85.4
2026-08-31,AY6,,3.37,,,,,,,,,,,,,,,,,51.89,,,,,,,,,,,,,,,,,,,,,,,,1.33,,4.7,,,,17.9,7.76,,13.05,,
2026-08-31,AY7,,,,,,,,12.92,,,19.14,,,,,,,,,,,,,,,,,,,,,,,,21.28,,,6.74,,,,,,,10.71,,,,,,,29.21,,
2026-08-31,AYA,,,,,,,,,,,,,,,,,,,88.25,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,10.79,,
2026-08-31,AYR,,,,,,,,,,,46.81,,,,,,,,,,,,,,,,,,,,,,,8.38,38.9,,,0.04,1.25,4.62,,,,,,,,,,,,,,
2026-08-31,AZF,,,,,,,,,,,41.15,,,,,,,,,,,,,,,,,,,,,,,8.12,34.98,,,0.03,12.06,3.66,,,,,,,,,,,,,,
2026-08-31,AZJ,,,1.57,,,,,47.05,,,19.5,,,,,,,,,,,,,,,,,,,,,,,1.08,1.41,-4.24,,,,1.41,,,,2.11,8.09,,,,,,,22.02,,
2026-08-31,AZV,,,0.34,,,,,,,,,,,,,,,,,2.95,,,,,,,,,,,,,,,,,,,,,,,0.09,8.13,,,,0.87,,,,0.2,,87.42
2026-08-31,AZZ,,,,,,,,,,,,,,,,,,,,6.24,,,,,,,0.71,,,,,,,,,-3.9,,,9.07,,,,32.91,3.93,,,,50.42,,,,,,0.62
2026-08-31,BA1,,,,,,,,,,,2.63,,,,,,,,28.07,,,,,,,,,,,,,,,,,,,,,,,,,,69.3,,,,,,,,,
2026-08-31,BAC,,,,,,,,,,,,,,,,,,,98.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,
2026-08-31,BAG,,,,,8.47,,,,,,10.03,,,,,,,,61.14,,,,,,,,,,,,,,,6.24,,,,,,,,,,,3.15,,,,,,,10.97,,
2026-08-31,BAI,,19.15,,,,,,,,,,,,,,,,,28.9,,,,,,,,,,,0.04,,50.75,,,,,,,,,,,,,,,,,,,,1.16,,
2026-08-31,BAL,,,,,,,,,,,,,,,,,,,,9.08,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54,,,,,23.83,0.88,59.67
2026-08-31,BAO,,,,,,,,12.82,,,,,,,,,,,93.68,,,,,,,,,,,,,,,,,-6.5,,,,,,,,,,,,,,,,,,
2026-08-31,BAS,,,,,,,,,,,,,,,,,,,,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,2.43,93.27
2026-08-31,BBF,,,,,,,,71.29,,,12.24,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,3.54,,,,,,0.72,12.2,,,,,,,,,
2026-08-31,BBI,,,,,,,,,,,,,,,,,,,94.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55,,
2026-08-31,BBN,,,,,-7.98,,,,,,,,,,,,,,107.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31,BBO,,,,,-198.69,,,,,,,,,,,,,,298.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31,BBP,,,,,,,,61.26,,,17.22,,,,,,,,,,,,,,,,,,,,,,,4.92,,,,,,,,,,,,,,,,,,16.6,,
2026-08-31,BBS,,,,,95.92,,,,,,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31,BCC,,,12.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.47,,81.71
2026-08-31,BCK,,,,,,,,,,,,,,,,,,,30.45,,,,,,,,,,,,,,,,,,,,,,,,2.89,0.69,,,,,13.86,52.11,,,,
2026-08-31,BCO,,23.89,,,,,7.88,,,,,,,,,,,,45.73,,,,,7.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.57,,
2026-08-31,BDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,99.97
2026-08-31,BDC,,,,,,,,,,,,,,8.34,,,,,23.78,,,,,,,,,,,,,,,,,,,,,,,,,0.42,33.61,,,,,,,33.85,,
2026-08-31,BDI,,,,,-30.6,,,,,,,,,,,,,,130.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31,BDO,,,,,,,,,,,,,,,,,,,99.95,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,0.01,,
2026-08-31,BDS,,,,,-0.28,,,,,,,,,,,,,,87.29,,,,,,,,,,,,,,,,,,,,,,,,,,4.74,,,,,,,8.25,,
2026-08-31,BDY,,,,,,,,,,,,,,,,,,,84.09,,,,,,,,,,,,,,,,,,,,9.31,,,,,,6.6,,,,,,,,,
2026-08-31,BFE,,19.71,,,,,,,,,,,,,,,,,7.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.43,,
2026-08-31,BFO,,,,,,,,,,,,,,,,,,,,62.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,2.35,0.26,,,,31.48
2026-08-31,BFS,,23.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,,,,74.38,,,,,
2026-08-31,BFT,,,,,,,,,,,,,,,,,,,85.73,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,13.96,,
2026-08-31,BGH,,,,,,,,,,,,,,0.96,,0.33,,,88.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.35,,
2026-08-31,BGP,,,,,,,,12.41,,,0.18,,,,,,,,,,,,,,,,0.11,,,,,,,,0.24,,,0.93,49.73,0.25,,,,36.15,,,,,,,,,,
2026-08-31,BGR,,,,,,,,,,,,,,,,,,,94.22,,,,,,,,,,,,,,,,,,,,5.78,,,,,,,,,,,,,,,
2026-08-31,BHA,,,,,12.52,,,,,,,,,,,,,,80.65,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,,,,,,,4.85,,
2026-08-31,BHE,,,,,,,,,,,,,,,,,,,92.08,,,,,,,,,,,,,,,,,,,0.63,5.02,,,,,,1.37,,,,,,,0.9,,
2026-08-31,BHF,,,,,,,,,,,,,,,,,,,45.77,,,,,,,,,,,,,,,,,,,5.09,,,,,,1.1,40.14,,,,,,,7.9,,
2026-08-31,BHH,,,,,-197.12,,,,,,,,,,,,,,297.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31,BHI,,,4.23,,,,,,,,11.12,,,,,,,,65.93,,,,,,,,,,,,,,,,,,,,,,,,,,16.95,,,,,,,1.77,,
2026-08-31,BHL,,,,,,,,,,,,,,,,,,,93.05,,,,,,,,,,,,,,,,,,,,,,,,,,6.95,,,,,,,,,
2026-08-31,BHN,,,,,,,,,,,,,,,,,,,99.98,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,
2026-08-31,BHO,,,,,,,,,,,,,,,,,,,94.14,,,,,,,,,,,,,,,,,,,,,,,,,,5.13,,,,,,,0.73,,
2026-08-31,BI5,,,,,-80.06,,,,,,,,,,,,,,179.88,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,
2026-08-31,BIA,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31,BID,,,,,,,,,,,,,,,,,,,94.94,,,,,,,,,,,,,,,,,,,1.99,,,,,,,3.07,,,,,,,,,
2026-08-31,BIG,,,,,,,,,,,,,,,,,,,94.14,,,,,,,,,,,,,,,,,,,2.99,,,,,,,,,,,,,,2.87,,
2026-08-31,BIH,,,-0.01,,,,,,,,,,,,,,,,84.32,,,,,,,,,,,,,,,,,,,,,,,,,0.32,9.22,,,,,,,6.15,,
2026-08-31,BIK,,,,,,,,,,,,,,,,,,,99.99,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,
2026-08-31,BIO,,,,,,,,,,,,,,,,,,,93.92,,,,,,,,,,,,,,,,,,,,2.54,,,,,,3.11,,,,,,,0.43,,
2026-08-31,BIP,,,,,,,,,,,4.77,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,86.51,,,,,6.32,,,,,,,,,,
2026-08-31,BIS,,,4.43,,25.16,,,,,,15.27,,,,,,,,,,,,,,,,,,,,,,,,,,,19.62,,12.6,,,,,8.42,,,,,,,14.5,,
2026-08-31,BIY,,,,,,,,,,,,,,,,,,,92.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.09,,
2026-08-31,BJD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.55,,,,0.22,,0.23,,,,,,,,,
2026-08-31,BKO,,,,,,,,,,,,,,,,,,,,,,,,72.72,,,,,,,,,,6.72,,,,,,,,,,,,,,,,,,20.56,,
2026-08-31,BKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,,97.23
2026-08-31,BLA,,,,,-0.05,,,,,,,,,,,,,,100.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31,BLD,,,,,,,,,,,9.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,76.43,,,,,,,,12.87,,
2026-08-31,BLT,,,,,,,,,,,,,,,,,,,4.77,,,,,,,,,,92.28,,,,,,,,,,,,,,,,2,,,,,,,0.95,,
2026-08-31,BMU,,,,,,,,,,,,,,,,,,,91.87,,,,,,,,,,,,,,,,,,,,,,,,,,8.13,,,,,,,,,
2026-08-31,BNC,,,,,,,,82.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,16.34,,,,,,,,,,,,,0.62,,
2026-08-31,BNH,,,,,,,,,,,,,,,,,,,88.89,,,,,,,,,,,,,,,,,,,11.11,,,,,,,,,,,,,,,,
2026-08-31,BOH,,,,,,,,,,,,,,,,,,,87.79,,,,,,,,,,,,,,,,,,,,,,,,,,12.21,,,,,,,,,
2026-08-31,BOL,,,,,,,,82.71,,,3.37,,,,,,,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.95,,
2026-08-31,BON,,,,,,,,80.89,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,0.18,5.55,,,,,,3.78,,,,,,,,,
2026-08-31,BOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.44,,82.56
2026-08-31,BOS,,,,,-34.2,,,,,,,,,,,,,,134.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31,BP5,,,,,,,,,,,,,,,,,,,92.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,7.7,,
2026-08-31,BPZ,,,,,19.88,,,10.38,,,10.65,,,,,,,,,,,,,,,,,,,,,,,2.06,,,,,57.03,,,,,,,,,,,,,,,
2026-08-31,BRB,,,,,,,,,,,,,,,,,,,99.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,
2026-08-31,BRC,,,,,,,,,,,,,,,,,,,68.62,,,,,,,,,,,,,,,,,,,,,,,,,,31.38,,,,,,,,,
2026-08-31,BRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,2.29,,,,,0.22,,,,,64.55,,,31.91,,
2026-08-31,BRG,,,,,,,,12.75,,,2.82,,,,,,,,,,,,,2.99,,,,,,,,,,,,,,5.46,40.21,0.93,,,,34.84,,,,,,,,,,
2026-08-31,BRH,,,,,,,,,,,,,,,,0.01,,,105.37,,,,,,,,,,,,,,,,,-5.39,,,,,,,,,,,,,,,,0.01,,
2026-08-31,BRR,,,,,,,,40.15,,,17.48,,,,,,,,,,,,,,,,,,,,,,,,15.54,,,7.15,17.27,,,,,2.41,,,,,,,,,,
2026-08-31,BRT,,,,,,,,,,,,,,,,,,,90.43,,,,,,,,,,,,,,,,,,,,,,,,,,9.57,,,,,,,,,
2026-08-31,BRZ,,,,,,,,,,,11.21,,,,,,,,,14.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,0.04,,72.98
2026-08-31,BS1,,,,,,,,,,,,,,,,,,,95.83,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,,,2.22,,
2026-08-31,BSA,,,,,,,,,,,,,,,,,,,35.82,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,6.8,,47.55
2026-08-31,BSC,,,,,,,,,,,97.49,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,,,,,,,,,,,,,,,,
2026-08-31,BSD,,,0.05,,-31.67,,,23.44,,,18.78,,,,,,,,13.74,,,,,,,,,,,,,,,,26.11,-44.7,,,,,,,,,15.76,,,,,,,7.49,,71
2026-08-31,BSE,,,,,-75.39,,,,,,,,,,,,,,175.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31,BSF,,,,,,,,,,,,,,,,,,,96.38,,,,,,,,,,,,,,,,,,,,1.31,,,,,,2.31,,,,,,,,,
2026-08-31,BSH,,,,,,,,,,,,,,,,,,,82.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.16,,
2026-08-31,BSM,,,0.87,,,,,5.57,,,15.63,,,2.02,,,,,,,,,,,,,,,,,,,,,2.81,,,20.77,,,,,,,29.42,,,,,,,22.91,,
2026-08-31,BSN,,,,,-0.11,,,,,,,,,,,,,,100.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31,BST,,,,,,,,,,,,,,,,,,,88.68,,,,,,,,,,,,,,,,,,,,,,,,,,11.32,,,,,,,,,
2026-08-31,BTE,,,,,,,,,,,,,,3.61,,,,,15.57,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,69.38,,10.51,,
2026-08-31,BTJ,,,,,,,,,,,,,,,,,,,85.06,,,,,,,,,,,,,,,,,,,,,,,,,,12.07,,,,,,,2.87,,
2026-08-31,BTK,,,1.78,,,,,,,,,,,,,,,,15.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.81,,12.52,,
2026-08-31,BTP,,,,,81.73,,,,,,18.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31,BTY,,,,,,,,,,,,,,,,,,,,24.41,,,,,,,,,,,,,,,,,,,18.31,,,,,,,,,,,,,0.67,,56.61
