fonKodu,fonUnvan,fonTipi,fonSinifi,durum,kurucu,fundOid,kategori,kategoriKaynak
BIK,BULLS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,BULLS PORTFÖY YÖNETİMİ A.Ş.,4028328d969f29560196f2ec69511115,Hisse Senedi,unvan
BIO,İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,İŞ PORTFÖY YÖNETİMİ A.Ş.,4028328c8ae7be4e018b23ad8366692a,Hisse Senedi,unvan
BIP,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,YF,SF,faal,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,4028328c969f295c0196aae5983c19c5,Para Piyasası,unvan
BIS,BV PORTFÖY BİRİNCİ SERBEST FON,YF,SF,faal,BV PORTFÖY YÖNETİMİ A.Ş.,4028328c8ae7be4f018b19a228e86a4c,Serbest,unvan
BIT,ATA PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,ATA PORTFÖY YÖNETİMİ A.Ş.,4028328c998ee9d5019aa11df10213dd,Hisse Senedi,unvan
BIY,AZİMUT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,4028328c998ee9d5019a9c101590302f,Hisse Senedi,unvan
BJD,AZİMUT PORTFÖY 13.0 SERBEST (DÖVİZ) FON,YF,SF,faal,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,4028328c794d2f8a017a0eae12597ccf,Serbest,unvan
BKA,ALBARAKA PORTFÖY YÖNETİMİ A.Ş. ANKA GAYRİMENKUL YATIRIM FONU,GMF,DG,faal,ALBARAKA PORTFÖY YÖNETİMİ A.Ş.,4028328c7bf4b5e3017d04b701113e80,Diğer,unvan
BKB,HDI FİBA EMEKLİLİK VE HAYAT A.Ş. KAMU DIŞ BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,EYF,,faal,HDI FİBA EMEKLİLİK VE HAYAT A.Ş.,33E5FED7E89B00EAE0530A4A622B2AEA,Borçlanma Araçları,unvan
BKG,PARDUS PORTFÖY YÖNETİMİ A.Ş. BİRİNCİ KARMA GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,PARDUS PORTFÖY YÖNETİMİ A.Ş.,4028328d86d233be0187ec2baa6f54e4,Karma,unvan
BKH,BV PORTFÖY YÖNETİMİ A.Ş. KARBON HASADI GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,BV PORTFÖY YÖNETİMİ A.Ş.,4028328c9d4a029c019d6714c4504b1e,Diğer,unvan
BKI,ALBARAKA PORTFÖY YÖNETİMİ A.Ş. BEŞİNCİ KARMA GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,ALBARAKA PORTFÖY YÖNETİMİ A.Ş.,4028328c90effe4e01910cc47f7b1f88,Karma,unvan
BKL,OMURGA GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. BATI KARTAL GAYRİMENKUL YATIRIM FONU,GMF,DG,faal,OMURGA GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş.,4028328d969f29570196c44f3cd34dab,Diğer,unvan
BKO,AZİMUT PORTFÖY BİRİNCİ KATILIM SERBEST ÖZEL FON,YF,SF,faal,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,4028328d998eebe8019a9b5514b400c1,Katılım,unvan
BKY,YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,YF,KTF,faal,YAPI KREDİ PORTFÖY YÖNETİMİ A.Ş.,4028328c992f6d57019951354a5b7c92,Katılım,unvan
BLA,BULLS PORTFÖY ALGORİTMİK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,BULLS PORTFÖY YÖNETİMİ A.Ş.,4028328d976d2b830197c5e4028838ad,Hisse Senedi,unvan
BLD,DENİZ PORTFÖY BALEV EĞİTİME DESTEK SERBEST FON,YF,SF,faal,DENİZ PORTFÖY YÖNETİMİ A.Ş.,4028328c96289c73019666f5012a55f8,Serbest,unvan
BLM,ATLAS PORTFÖY YÖNETİMİ A.Ş. BALMUMCU PROJE GAYRİMENKUL YATIRIM FONU,GMF,DG,faal,ATLAS PORTFÖY YÖNETİMİ A.Ş.,4028328c949953a20194fa065f535203,Diğer,unvan
BLT,BULLS PORTFÖY ALTIN FONU,YF,DG,faal,BULLS PORTFÖY YÖNETİMİ A.Ş.,4028328d95959cc601960132c22d3ce8,Kıymetli Madenler,unvan
BLY,ROTA PORTFÖY YÖNETİMİ A.Ş. BLUESKY YENİLENEBİLİR ENERJİ GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,ROTA PORTFÖY YÖNETİMİ A.Ş.,4028328d93c3b68c0193f8fb80336ebd,Diğer,unvan
BMA,MAXİS GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. BİOSCİENCE MANAGERS GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,MAXİS GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş.,4028328c998ee9d5019a7c62a466140f,Diğer,unvan
BMU,BULLS PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,BULLS PORTFÖY YÖNETİMİ A.Ş.,4028328d976d2b83019778d85215108b,Hisse Senedi,unvan
BN2,ATLAS PORTFÖY YÖNETİMİ A.Ş. BENESTA-2 PROJE GAYRİMENKUL YATIRIM FONU,GMF,DG,faal,ATLAS PORTFÖY YÖNETİMİ A.Ş.,4028328c96289c730196815e07c41b4e,Diğer,unvan
BNA,BNP PARIBAS CARDIF EMEKLİLİK A.Ş. ALTIN EMEKLİLİK YATIRIM FONU,EYF,,faal,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,33E5FED7ECAF00EAE0530A4A622B2AEA,Kıymetli Madenler,unvan
BNB,BNP PARIBAS CARDIF EMEKLİLİK A.Ş. MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,EYF,,faal,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,33E5FED7EB9F00EAE0530A4A622B2AEA,Değişken,unvan
BNC,AK PORTFÖY BEŞİNCİ SERBEST FON,YF,SF,faal,AK PORTFÖY YÖNETİMİ A.Ş.,4028328d8b2fcee7018beb939a957bb2,Serbest,unvan
BNE,ATLAS PORTFÖY YÖNETİMİ A.Ş. BENESTA PROJE GAYRİMENKUL YATIRIM FONU,GMF,DG,faal,ATLAS PORTFÖY YÖNETİMİ A.Ş.,4028328c9373b8ac01939aaca3a246ed,Diğer,unvan
BNH,İSTANBUL PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,4028328d95959cc60195aec2d4d10e9c,Hisse Senedi,unvan
BNK,BNP PARIBAS CARDIF EMEKLİLİK A.Ş. KATKI  EMEKLİLİK YATIRIM FONU,EYF,,faal,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,33E5FED7ECAB00EAE0530A4A622B2AEA,Diğer,unvan
BNL,BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU,OKS,DG,faal,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,4028328c5fc60da801606d9162a4007e,Diğer,unvan
BNO,ANADOLU HAYAT EMEKLİLİK A.Ş. TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU,EYF,,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,4028328d8271f5d601827cab350d289d,Hisse Senedi,unvan
BNS,BNP PARIBAS CARDIF EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU,EYF,,faal,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,33E5FED7ECB300EAE0530A4A622B2AEA,Diğer,unvan
BNZ,BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU,OKS,DG,faal,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,4028328c5fc60da801606d939541008d,Katılım,unvan
BOH,BULLS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,BULLS PORTFÖY YÖNETİMİ A.Ş.,4028328d998eebe80199ec5adfd160de,Hisse Senedi,unvan
BOL,AKTİF PORTFÖY BORÇLANMA ARAÇLARI FONU,YF,DG,faal,AKTİF PORTFÖY YÖNETİMİ A.Ş.,4028328c9373b8aa01938ccdde3e573d,Borçlanma Araçları,unvan
BON,A1 CAPİTAL PORTFÖY BORÇLANMA ARAÇLARI FONU,YF,DG,faal,A1 CAPİTAL PORTFÖY YÖNETİMİ A.Ş.,4028328c998ee9d50199c2d60a6f6fef,Borçlanma Araçları,unvan
BOP,İŞ PORTFÖY ÖPY BİRİNCİ SERBEST (DÖVİZ) ÖZEL FON,YF,SF,faal,İŞ PORTFÖY YÖNETİMİ A.Ş.,4028328d998eebe8019a5cfd6f35273e,Serbest,unvan
BOS,BULLS PORTFÖY ALTINCI HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,BULLS PORTFÖY YÖNETİMİ A.Ş.,4028328c998ee9d70199b8ce8ffc56cf,Hisse Senedi,unvan
BP1,BULLS PORTFÖY YÖNETİMİ A.Ş. BİRİNCİ PROJE GAYRİMENKUL YATIRIM FONU,GMF,DG,faal,BULLS PORTFÖY YÖNETİMİ A.Ş.,4028328d9b827483019c0dce37a57526,Diğer,unvan
BP2,ONE PORTFÖY YÖNETİMİ A.Ş. İKİNCİ PROJE GAYRİMENKUL YATIRIM FONU,GMF,DG,faal,ONE PORTFÖY YÖNETİMİ A.Ş.,4028328c9cc9d177019d1a5d07843c24,Diğer,unvan
BP5,BULLS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,BULLS PORTFÖY YÖNETİMİ A.Ş.,4028328d98455cf70198c6742b502ad3,Hisse Senedi,unvan
BPC,BNP PARIBAS CARDIF EMEKLİLİK A.Ş. KATILIM KATKI EMEKLİLİK YATIRIM FONU,EYF,,faal,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,4028328d6efb12d9016f7f12d3040735,Katılım,unvan
BPD,BULLS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,YF,SF,faal,BULLS PORTFÖY YÖNETİMİ A.Ş.,4028328d969f29560196d3956ec01d44,Serbest,unvan
BPE,BNP PARIBAS CARDIF EMEKLİLİK A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,EYF,,faal,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,33E5FED7EC9B00EAE0530A4A622B2AEA,Değişken,unvan
BPF,BNP PARIBAS CARDIF EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,EYF,,faal,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,33E5FED7ECA700EAE0530A4A622B2AEA,Borçlanma Araçları,unvan
BPG,BNP PARİBAS CARDİF EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,EYF,,faal,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,33E5FED7EB9300EAE0530A4A622B2AEA,Borçlanma Araçları,unvan
BPH,BNP PARIBAS CARDIF EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU,EYF,,faal,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,33E5FED7EC9700EAE0530A4A622B2AEA,Hisse Senedi,unvan
BPI,BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU,OKS,DG,faal,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,4028328d5c459ee5015d2b42a5c21365,Değişken,unvan
BPJ,BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,OKS,DG,faal,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,4028328d5c459ee5015d2b43a7141373,Değişken,unvan
BPK,BNP PARIBAS CARDIF EMEKLİLİK A.Ş. İKİNCİ KAMU DIŞ BORÇLANMA ARAÇLARI (ABD DOLARI 0-5 YIL VADELİ) EMEKLİLİK YATIRIM FONU,EYF,,faal,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,33E5FED7EB9B00EAE0530A4A622B2AEA,Borçlanma Araçları,unvan
BPL,BNP PARIBAS CARDIF EMEKLİLİK A.Ş. BİRİNCİ PARA PİYASASI EMEKLİLİK YATIRIM FONU,EYF,,faal,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,33E5FED7EB9700EAE0530A4A622B2AEA,Para Piyasası,unvan
BPN,BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU,OKS,DG,faal,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,4028328d5c459ee5015d2b4498351381,Değişken,unvan
BPO,BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS DİNAMİK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU,OKS,DG,faal,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,4028328d5c459ee5015d2b48589c13ac,Katılım,unvan
BPR,BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS MUHAFAZAKAR DEĞİŞKEN EMEKLİLİK YATIRIM FONU,OKS,DG,faal,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,4028328d5c459ee5015d2b45e7901390,Değişken,unvan
BPS,BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU,OKS,DG,faal,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,4028328d5c459ee5015d2b46f798139e,Katılım,unvan
BPU,BNP PARIBAS CARDIF EMEKLİLİK A.Ş. BİRİNCİ KAMU DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,EYF,,faal,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,33E5FED7EC9F00EAE0530A4A622B2AEA,Borçlanma Araçları,unvan
BPV,BTCTURK PORTFÖY PARA PİYASASI (TL) FONU,YF,DG,faal,BTCTURK PORTFÖY YÖNETİMİ A.Ş.,4028328c9f52dc3f01a01e115463222a,Para Piyasası,unvan
BPZ,BULLS PORTFÖY PARA PİYASASI (TL) FONU,YF,DG,faal,BULLS PORTFÖY YÖNETİMİ A.Ş.,4028328d95959cc6019601323a383cc7,Para Piyasası,unvan
BRB,BULLS PORTFÖY ARENA SERBEST FON,YF,SF,faal,BULLS PORTFÖY YÖNETİMİ A.Ş.,4028328d969f29560196f2efbb2d1148,Serbest,unvan
BRC,RE-PIE PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,RE-PIE PORTFÖY YÖNETİMİ A.Ş.,4028328d982435780198310dcfb72457,Hisse Senedi,unvan
BRE,ATLAS PORTFÖY YÖNETİMİ A.Ş. POLAT BİRİNCİ PROJE GAYRİMENKUL YATIRIM FONU,GMF,DG,faal,ATLAS PORTFÖY YÖNETİMİ A.Ş.,4028328d8e21d0ec018e7a5fcdb97ac5,Diğer,unvan
BRF,DENİZ PORTFÖY BİRİNCİ FON SEPETİ FONU,YF,DG,faal,DENİZ PORTFÖY YÖNETİMİ A.Ş.,4028328c969f295c0196ecfc6a9c00f5,Fon Sepeti,unvan
BRG,TEB PORTFÖY BURGAN BANK PARA PİYASASI (TL) FONU,YF,DG,faal,TEB PORTFÖY YÖNETİMİ A.Ş.,4028328c7bf4b5e2017c31b8757d5b26,Para Piyasası,unvan
BRH,İSTANBUL PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,4028328c919f164b01924754f8503bf8,Hisse Senedi,unvan
BRP,AZİMUT PORTFÖY YÖNETİMİ A.Ş. BİRİNCİ PROJE GAYRİMENKUL YATIRIM FONU,GMF,DG,faal,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,4028328c969f29550196d7f6b93573b7,Diğer,unvan
BRR,AK PORTFÖY İKİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,YF,DG,faal,AK PORTFÖY YÖNETİMİ A.Ş.,4028328d96289e8c01964312ea7e1c76,Kısa Vadeli Borçlanma,unvan
BRS,ROTA PORTFÖY YÖNETİMİ A.Ş. TEKNOSAB LOJİSTİK GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,ROTA PORTFÖY YÖNETİMİ A.Ş.,4028328c919f164b0191d6bd80ea2222,Diğer,unvan
BRT,PARDUS PORTFÖY BEREKET HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,PARDUS PORTFÖY YÖNETİMİ A.Ş.,4028328c96289c73019681fc388832ee,Hisse Senedi,unvan
BRV,ALKİMA GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. BİRİNCİ GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,ALKİMA GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş.,4028328c9d7b22d2019dddfb13503d08,Diğer,unvan
BRY,INVEO PORTFÖY YÖNETİMİ A.Ş. BORYAL GAYRİMENKUL YATIRIM FONU,GMF,DG,faal,INVEO PORTFÖY YÖNETİMİ A.Ş.,4028328d9d7b24c9019d8bf8a3b37dcd,Diğer,unvan
BRZ,TEB PORTFÖY BURGAZ SERBEST (DÖVİZ) ÖZEL FON,YF,SF,faal,TEB PORTFÖY YÖNETİMİ A.Ş.,4028328c906f3e7c01907d6bca4873eb,Serbest,unvan
BS1,AHLATCI PORTFÖY BİRİNCİ SERBEST (TL) FON,YF,SF,faal,AHLATCI PORTFÖY YÖNETİMİ A.Ş.,4028328d998eebe8019a585e9eb5744f,Serbest,unvan
BSA,İŞ PORTFÖY BAŞAK SERBEST ÖZEL FON,YF,SF,faal,İŞ PORTFÖY YÖNETİMİ A.Ş.,4028328d93c3b68c01941d0bfc106a44,Serbest,unvan
BSC,A1 CAPİTAL PORTFÖY BİRİNCİ SERBEST FON,YF,SF,faal,A1 CAPİTAL PORTFÖY YÖNETİMİ A.Ş.,4028328d9aaa2df9019ab5b420911e0a,Serbest,unvan
BSD,BV PORTFÖY SERBEST (DÖVİZ) FON,YF,SF,faal,BV PORTFÖY YÖNETİMİ A.Ş.,4028328c976d2988019778fb282d18cf,Serbest,unvan
BSE,PARDUS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,PARDUS PORTFÖY YÖNETİMİ A.Ş.,4028328d86183ba10186500f08bf4fbf,Hisse Senedi,unvan
BSF,İŞ PORTFÖY BİRİNCİ SERBEST ÖZEL FON,YF,SF,faal,İŞ PORTFÖY YÖNETİMİ A.Ş.,4028328c916b969d0191749b8c7b3fdd,Serbest,unvan
BSG,BV PORTFÖY YÖNETİMİ A.Ş. SİNERJİ GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,BV PORTFÖY YÖNETİMİ A.Ş.,4028328d8563fea001858722d5d11304,Diğer,unvan
BSH,ATLAS PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON),YF,HS,faal,ATLAS PORTFÖY YÖNETİMİ A.Ş.,4028328d9373bab00193b5175041387d,Hisse Senedi,unvan
BSI,TERA PORTFÖY YÖNETİMİ A.Ş. DRV TEKNOLOJİ GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,TERA PORTFÖY YÖNETİMİ A.Ş.,4028328d919f184b0191ffaa67da1580,Diğer,unvan
BSM,GLOBAL MD PORTFÖY BERRAK SERBEST FON,YF,SF,faal,GLOBAL MD PORTFÖY YÖNETİMİ A.Ş.,4028328c998ee9d70199e2a4696538df,Serbest,unvan
BSN,BULLS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,BULLS PORTFÖY YÖNETİMİ A.Ş.,4028328d998eebe8019a540cbb88302b,Hisse Senedi,unvan
BSR,BNP PARİBAS CARDİF EMEKLİLİK A.Ş. SÜRDÜRÜLEBİLİRLİK FON SEPETİ EMEKLİLİK YATIRIM FONU,EYF,,faal,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,4028328c950ba8c70195462d06ad41d6,Fon Sepeti,unvan
BSS,BV PORTFÖY YÖNETİMİ A.Ş. SEED-B GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,BV PORTFÖY YÖNETİMİ A.Ş.,4028328d95959cc60195a2d413650862,Diğer,unvan
BST,PARDUS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,PARDUS PORTFÖY YÖNETİMİ A.Ş.,4028328d86183ba1018650124f1a504f,Hisse Senedi,unvan
BSY,ALLBATROSS PORTFÖY YÖNETİMİ A.Ş. BEŞİNCİ GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,ALLBATROSS PORTFÖY YÖNETİMİ A.Ş.,4028328c919f164a01920a5dc5500a44,Diğer,unvan
BTE,BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,YF,DG,faal,BV PORTFÖY YÖNETİMİ A.Ş.,4028328c8588f3000185f393929f6b2c,Değişken,unvan
BTG,ROTA PORTFÖY YÖNETİMİ A.Ş. BİRİNCİ FINTECH GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,ROTA PORTFÖY YÖNETİMİ A.Ş.,4028328d7da7e96d017e66ebea7e0457,Diğer,unvan
BTH,ALBARAKA PORTFÖY YÖNETİMİ A.Ş. OTEL GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,ALBARAKA PORTFÖY YÖNETİMİ A.Ş.,4028328d90137b63019039a44c4b2c07,Diğer,unvan
BTJ,ATLAS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON),YF,HS,faal,ATLAS PORTFÖY YÖNETİMİ A.Ş.,4028328d9373bab00193b51ade143894,Hisse Senedi,unvan
BTK,BV PORTFÖY TEKNOLOJİ KATILIM FONU,YF,KTF,faal,BV PORTFÖY YÖNETİMİ A.Ş.,4028328c976d2988019778fac73618b9,Katılım,unvan
BTP,TRİVE PORTFÖY PARA PİYASASI SERBEST FON,YF,SF,faal,TRIVE PORTFÖY YÖNETİMİ A.Ş.,4028328c8ff3a67701900c85fd47750b,Para Piyasası,unvan
BTY,İŞ PORTFÖY BTY SERBEST (DÖVİZ) ÖZEL FON,YF,DG,faal,İŞ PORTFÖY YÖNETİMİ A.Ş.,4028328d8e21d0ec018ebddc62bf3088,Serbest,unvan
BTZ,ATLAS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,ATLAS PORTFÖY YÖNETİMİ A.Ş.,4028328c906f3e7b0190a09a920447e5,Hisse Senedi,unvan
BU2,BULLS PORTFÖY YÖNETİMİ A.Ş. İKİNCİ GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,BULLS PORTFÖY YÖNETİMİ A.Ş.,4028328d9b827483019c0dced3c17547,Diğer,unvan
BU3,BULLS PORTFÖY YÖNETİMİ A.Ş. ÜÇÜNCÜ GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,BULLS PORTFÖY YÖNETİMİ A.Ş.,4028328d9b827483019c0dcea400753c,Diğer,unvan
BUB,BULLS PORTFÖY BİRİNCİ FON SEPETİ FONU,YF,DG,faal,BULLS PORTFÖY YÖNETİMİ A.Ş.,4028328c98f754d1019905058fd10e46,Fon Sepeti,unvan
BUC,BULLS PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,BULLS PORTFÖY YÖNETİMİ A.Ş.,4028328d976d2b83019778d879561096,Hisse Senedi,unvan
BUG,INVEO PORTFÖY YÖNETİMİ A.Ş. INVEO VENTURES SPARK GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,INVEO PORTFÖY YÖNETİMİ A.Ş.,4028328d7da7e96d017e66ed12ad0467,Diğer,unvan
BUP,AZİMUT PORTFÖY BUPA SERBEST (TL) ÖZEL FON,YF,SF,faal,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,4028328d853ff39a01855e505da10e25,Serbest,unvan
BUT,AZİMUT PORTFÖY BULUT HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,4028328d86d233be0187be09c1d369d2,Hisse Senedi,unvan
BUV,BULLS PORTFÖY VOLTRAN SERBEST (TL) FON,YF,SF,faal,BULLS PORTFÖY YÖNETİMİ A.Ş.,4028328d969f29560196d39533c61d35,Serbest,unvan
BUY,AK PORTFÖY BÜYÜYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,AK PORTFÖY YÖNETİMİ A.Ş.,4028328c88c529ea0188d2f9872b277e,Hisse Senedi,unvan
BV1,BV PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,BV PORTFÖY YÖNETİMİ A.Ş.,4028328d949955a90194b21cce497eea,Hisse Senedi,unvan
BV2,BV PORTFÖY YÖNETİMİ A.Ş. BOĞAZİÇİ VENTURES İKİNCİ GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,BV PORTFÖY YÖNETİMİ A.Ş.,4028328d9aaa2dfa019ae3df59bb0560,Diğer,unvan
BVB,AK PORTFÖY ÖPY YEDİNCİ SERBEST (TL) ÖZEL FON,YF,SF,faal,AK PORTFÖY YÖNETİMİ A.Ş.,4028328c802924490180648e506b0f07,Serbest,unvan
BVC,AK PORTFÖY BİRİNCİ SERBEST (TL) ÖZEL FON,YF,SF,faal,AK PORTFÖY YÖNETİMİ A.Ş.,4028328c802924490180648f1cc60f1d,Serbest,unvan
BVD,BV PORTFÖY BİRİNCİ DEĞİŞKEN FON,YF,DG,faal,BV PORTFÖY YÖNETİMİ A.Ş.,4028328c9b82727b019b920c83b647c8,Değişken,unvan
