fonKodu,fonUnvan,fonTipi,fonSinifi,durum,kurucu,fundOid,kategori,kategoriKaynak
ZMT,AZİMUT PORTFÖY 22.0 SERBEST (DÖVİZ-AVRO) FON,YF,SF,faal,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,4028328c89555ba9018a92b213744df6,Serbest,unvan
ZMU,AZİMUT PORTFÖY 23.0 HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,4028328d950b60860195231c11a132b7,Hisse Senedi,unvan
ZMY,ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,YF,SF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c800a1f9f01801dcce17f5676,Değişken,unvan
ZND,ZİRAAT PORTFÖY NADİR TOPRAK ELEMENTLERİ VE STRATEJİK METALLER FON SEPETİ FONU,YF,DG,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c9f52dc3f01a043a9c5eb607b,Fon Sepeti,unvan
ZNF,ZİRAAT PORTFÖY BDEM SERBEST (DÖVİZ-AVRO) ÖZEL FON,YF,SF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328d8588f3000185bfe1f7fc0453,Serbest,unvan
ZOS,ZİRAAT PORTFÖY ONBEŞİNCİ SERBEST FON,YF,SF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c906f3e7c0190caf50f7321e8,Serbest,unvan
ZP1,ZİRAAT PORTFÖY ANTALYA SERBEST (DÖVİZ) ÖZEL FON,YF,SF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328d843994da01843cd792ed084d,Serbest,unvan
ZP2,ZİRAAT PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST (TL) ÖZEL FON,YF,SF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c838f7bfd0183d5c9c8392333,Serbest,unvan
ZP3,ZİRAAT PORTFÖY ÜÇÜNCÜ İSTATİSTİKSEL ARBİTRAJ SERBEST (TL) ÖZEL FON,YF,SF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c838f7bfd0183d5cb7e1f2345,Serbest,unvan
ZP6,ZİRAAT PORTFÖY SEDEF KATILIM SERBEST (DÖVİZ-AMERİKAN DOLARI) FON,YF,KTF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328d84686d10018484d726a07284,Katılım,unvan
ZP7,ZİRAAT PORTFÖY TE4 SERBEST (DÖVİZ) ÖZEL FON,YF,SF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328d84686d10018484d5cbc2726c,Serbest,unvan
ZP8,ZİRAAT PORTFÖY KEHRİBAR PARA PİYASASI KATILIM SERBEST (TL) FON,YF,KTF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328d84686d10018484d798f9728e,Para Piyasası,unvan
ZP9,ZİRAAT PORTFÖY AKİK KATILIM SERBEST (DÖVİZ-AVRO) FON,YF,KTF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328d84686d10018484de0e6e72f4,Katılım,unvan
ZPA,ZİRAAT PORTFÖY SERBEST (DÖVİZ) FON,YF,SF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,33E5FED7F13F00EAE0530A4A622B2AEA,Serbest,unvan
ZPBDL,ZİRAAT PORTFÖY BIST BANKA DIŞI LİKİT 10 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU,BYF,HS,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c6faf9e5101701ec2d85e0e6b,Hisse Senedi,unvan
ZPC,ZİRAAT PORTFÖY FON SEPETİ FONU,YF,DG,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,33E5FED7F12F00EAE0530A4A622B2AEA,Fon Sepeti,unvan
ZPE,ZİRAAT PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,33E5FED7F13300EAE0530A4A622B2AEA,Hisse Senedi,unvan
ZPF,ZİRAAT PORTFÖY KATILIM FONU (DÖVİZ),YF,KTF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,33E5FED7F13B00EAE0530A4A622B2AEA,Katılım,unvan
ZPG,ZİRAAT PORTFÖY KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,YF,KTF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,33E5FED7F13700EAE0530A4A622B2AEA,Katılım,unvan
ZPH,ZİRAAT PORTFÖY PAYLAŞIMLI HESAP PARA PİYASASI KATILIM SERBEST (TL) FON,YF,KTF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328d96289e8c01966cb39c9f15bf,Para Piyasası,unvan
ZPJ,ZİRAAT PORTFÖY KATILIM HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),YF,KTF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c794d2f880179cd0d116a6b67,Hisse Senedi,unvan
ZPK,ZİRAAT PORTFÖY KISA VADELİ KİRA SERTİFİKASI KATILIM (TL) FONU,YF,KTF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c5b3ef438015c44f7591e57a7,Kısa Vadeli Borçlanma,unvan
ZPLIB,ZİRAAT PORTFÖY BIST LİKİT BANKA ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU,BYF,HS,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c6faf9e5101701ec5b0a00ef1,Hisse Senedi,unvan
ZPMDK,ZİRAAT PORTFÖY BIST KATILIM 100 ENDEKSİ MODEL PORTFÖY HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU,BYF,HS,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328d9f52dddd019febe1c6850a5f,Hisse Senedi,unvan
ZPMDL,ZİRAAT PORTFÖY BIST 100 ENDEKSİ MODEL PORTFÖY HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU,BYF,HS,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328d9f52dddd019febe1f6fd0a6e,Hisse Senedi,unvan
ZPN,ZİRAAT PORTFÖY BUDİN SERBEST (DÖVİZ) ÖZEL FON,YF,SF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328d7bf4b81d017cbcacf8fe21b0,Serbest,unvan
ZPO,ZİRAAT PORTFÖY PARA PİYASASI KATILIM FONU,YF,KTF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c9f0a0859019f13dc669e23cc,Para Piyasası,unvan
ZPR,ZİRAAT PORTFÖY PARA PİYASASI SERBEST FON,YF,SF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c976d29880197ab7441a2256e,Para Piyasası,unvan
ZPS,AZİMUT PORTFÖY YÖNETİMİ A.Ş. SİNEMA TV GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,4028328c74f01f5901752b6f5c062a28,Diğer,unvan
ZPT10,ZİRAAT PORTFÖY YILDIZ PAZAR TEKNOLOJİ VE İLETİŞİM 10 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU,BYF,HS,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c794d2f8a017a41e2c37244a6,Hisse Senedi,unvan
ZPV,ZİRAAT PORTFÖY YÖNETİMİ A.Ş. BAŞAK KATILIM GAYRİMENKUL YATIRIM (TL) FONU,GMF,DG,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328d7bf4b81d017cbcaacd022174,Katılım,unvan
ZPX30,ZİRAAT PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU,BYF,HS,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c6faf9e5101701ebb7b6b0e12,Hisse Senedi,unvan
ZR1,ZİRAAT PORTFÖY YÖNETİMİ A.Ş. FONLABÜYÜSÜN GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328d84686d1101847f54cb3a52ea,Diğer,unvan
ZR2,ZİRAAT PORTFÖY YEŞİLKÖY SERBEST ÖZEL FON,YF,SF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c84686b400184f18cd75934b6,Serbest,unvan
ZR3,ZİRAAT PORTFÖY ONÜÇÜNCÜ SERBEST (TL) FON,YF,SF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328d84686d100184f18f5cc06834,Serbest,unvan
ZRE20,ZİRAAT PORTFÖY RİSK EŞİT BANKA DIŞI 20 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU,BYF,HS,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c72f8dbc5017348204af7575b,Hisse Senedi,unvan
ZSB,ZİRAAT PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,YF,SF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c800a1f9f01801dcc23df5666,Serbest,unvan
ZSF,ZİRAAT PORTFÖY S&P/OIC COMCEC (İSEDAK) 50 SHARİAH ŞİRKETLERİ YABANCI HİSSE SENEDİ FONU,YF,SF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328d6cd9324d016d44085071561e,Hisse Senedi,unvan
ZSG,ZİRAAT PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,YF,DG,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c8304fea80183606527ef251f,Fon Sepeti,unvan
ZSK,ZİRAAT PORTFÖY SSA KATILIM SERBEST (DÖVİZ) ÖZEL FON,YF,KTF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c8b2fcee7018ce98228917375,Katılım,unvan
ZSN,ZİRAAT PORTFÖY ÖPY BEŞİNCİ SERBEST (DÖVİZ-ABD DOLARI) ÖZEL FON,YF,SF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328d8588f3000185bfe1ae880440,Serbest,unvan
ZSR25,ZİRAAT PORTFÖY BIST SÜRDÜRÜLEBİLİRLİK 25 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU,BYF,HS,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c86845fa80186bbc043a173bd,Hisse Senedi,unvan
ZTA,ZİRAAT PORTFÖY YÖNETİMİ A.Ş. BİRİNCİ GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c81fdc449018211447e96293e,Diğer,unvan
ZTC,ZİRAAT PORTFÖY YÖNETİMİ A.Ş. İKİNCİ KATILIM GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c81fdc4490182114ab6a9297b,Katılım,unvan
ZTF,ZİRAAT PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST (TL) ÖZEL FON,YF,SF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c7fd4321d017fda76aa4841bb,Serbest,unvan
