fonKodu,yonetimUcretiYillik,ictuzukYonetimUcretiYillik,yonetimUcretiGunluk,performansUcreti,girisKomisyonu,cikisKomisyonu,tarih,kaynak
DLN,"1,5","1,5","0,00411",35,,,2026-09-11,KAP genel bilgiler
DNA,"0,14",,"0,000384",,0,0,2026-09-11,KAP genel bilgiler
DNF,"1,95",,"0,005342",,,,2026-09-11,KAP genel bilgiler
DNH,"2,95","2,95","0,00808",,,,2026-09-11,KAP genel bilgiler
DNK,1,1,"0,002740",,,,2026-09-11,KAP genel bilgiler
DNL,"0,30","0,30","0,000822",,,,2026-09-11,KAP genel bilgiler
DNM,"1,50","1,50","0,004110",,,,2026-09-11,KAP genel bilgiler
DNP,"0,50","0,90","0,00137",,,,2026-09-11,KAP genel bilgiler
DNU,1,1,"0,00274",,,"0,50",2026-09-11,KAP genel bilgiler
DOC,"0,95","0,95","0,002603",,,"0,50",2026-09-11,KAP genel bilgiler
DOD,"0,10",,"0,000274",,,,2026-09-11,KAP genel bilgiler
DOH,,"3,25",,,,,2026-09-11,KAP genel bilgiler
DOL,"0,79","0,79","0,00215",,,,2026-09-11,KAP genel bilgiler
DOR,"0,4725","0,4725","0,001294",,,,2026-09-11,KAP genel bilgiler
DOS,"0,068","0,068","0,000186",0,0,0,2026-09-11,KAP genel bilgiler
DOV,"0,60","0,60","0,001644",,,,2026-09-11,KAP genel bilgiler
DP1,"0,05","0,05","0,000137",,,,2026-09-11,KAP genel bilgiler
DP2,"0,45","0,45","0,00123",,,,2026-09-11,KAP genel bilgiler
DP3,"0,30","0,30","0,000822",,,,2026-09-11,KAP genel bilgiler
DP4,"0,25",,"0,000685",,,,2026-09-11,KAP genel bilgiler
DP5,"0,50","0,5","0,00137",,,,2026-09-11,KAP genel bilgiler
DP6,1,,"0,00274",0,,1,2026-09-11,KAP genel bilgiler
DP7,,"0,25",,,,,2026-09-11,KAP genel bilgiler
DP8,1,1,"0,00274",,,1,2026-09-11,KAP genel bilgiler
DP9,"0,50",1,"0,00137",,,1,2026-09-11,KAP genel bilgiler
DPB,"1,25","1,25","0,003425",0,0,0,2026-09-11,KAP genel bilgiler
DPC,"0,3",,"0,000822",0,0,0,2026-09-11,KAP genel bilgiler
DPE,"0,25",,"0,000685",0,0,0,2026-09-11,KAP genel bilgiler
DPG,"0,3",,"0,000822",0,0,0,2026-09-11,KAP genel bilgiler
DPI,"3,25",,"0,008904",25,0,0,2026-09-11,KAP genel bilgiler
DPK,"1,50",,"0,00411",0,0,0,2026-09-11,KAP genel bilgiler
DPL,"0,23",,"0,00063",0,0,0,2026-09-11,KAP genel bilgiler
DPN,"0,4",,"0,0011",0,0,0,2026-09-11,KAP genel bilgiler
DPP,"0,35",,"0,00096",0,0,0,2026-09-11,KAP genel bilgiler
DPR,"0,1",,"0,000274",0,0,0,2026-09-11,KAP genel bilgiler
DPT,"1,9",,"0,0052",0,0,0,2026-09-11,KAP genel bilgiler
DPZ,"0,5",,"0,00137",0,0,0,2026-09-11,KAP genel bilgiler
DRA,3,3,"0,00822",20,0,0,2026-09-11,KAP genel bilgiler
DRD,1,1,"0,00274",,,1,2026-09-11,KAP genel bilgiler
DRH,1,,"0,00274",5,,,2026-09-11,KAP genel bilgiler
DRS,"0,3",,"0,000822",,,,2026-09-11,KAP genel bilgiler
DRT,2,2,"0,00548",,,,2026-09-11,KAP genel bilgiler
DSC,1,,"0,00274",,,,2026-09-11,KAP genel bilgiler
DSD,1,1,"0,00274",0,0,0,2026-09-11,KAP genel bilgiler
DSH,3,3,"0,00822",0,0,0,2026-09-11,KAP genel bilgiler
DSP,"1,90",,"0,00521",0,0,0,2026-09-11,KAP genel bilgiler
DSR,"0,5","0,5","0,00137",,,,2026-09-11,KAP genel bilgiler
DSV,"0,75",1,"0,002055",,,,2026-09-11,KAP genel bilgiler
DTH,"2,40","2,40","0,0065753424",,,,2026-09-11,KAP genel bilgiler
DTL,"2,75","2,75","0,00754",0,0,0,2026-09-11,KAP genel bilgiler
DTM,2,2,"0,00548",,,,2026-09-11,KAP genel bilgiler
DTO,1,,"0,00274",,,,2026-09-11,KAP genel bilgiler
DTP,"0,21",,"0,00057534",,,,2026-09-11,KAP genel bilgiler
DTV,"0,095","0,095","0,000260",,0,0,2026-09-11,KAP genel bilgiler
DTZ,"2,90","2,90","0,00795",,,,2026-09-11,KAP genel bilgiler
DUC,"0,35","0,35","0,000959",,,,2026-09-11,KAP genel bilgiler
DUD,1,1,"0,00274",,,,2026-09-11,KAP genel bilgiler
DUH,3,3,"0,00822",0,0,0,2026-09-11,KAP genel bilgiler
DUT,1,,"0,00274",,,"0,50",2026-09-11,KAP genel bilgiler
DUV,2,2,"0,00548",,,,2026-09-11,KAP genel bilgiler
DVC,"0,35","0,35","0,000958",,0,0,2026-09-11,KAP genel bilgiler
DVI,"0,50",,"0,00137",,,,2026-09-11,KAP genel bilgiler
DVN,"0,40","0,40","0,0011",,,,2026-09-11,KAP genel bilgiler
DVO,"1,5","1,5","0,00411",,,,2026-09-11,KAP genel bilgiler
DVS,1,1,"0,00274",,,,2026-09-11,KAP genel bilgiler
DVT,2,2,"0,00548",,,,2026-09-11,KAP genel bilgiler
DVU,"0,21",,"0,00057534",,,,2026-09-11,KAP genel bilgiler
DVZ,"0,40","0,40","0,0011",,0,0,2026-09-11,KAP genel bilgiler
DXP,"2,90",,"0,00795",,,,2026-09-11,KAP genel bilgiler
DYJ,"0,75","0,75","0,002055",,,,2026-09-11,KAP genel bilgiler
DYN,"2,50","2,50","0,00685",,,,2026-09-11,KAP genel bilgiler
DYS,"2,5","2,5","0,00685",,,,2026-09-11,KAP genel bilgiler
DZ2,"0,20","0,20","0,000548",,,,2026-09-11,KAP genel bilgiler
DZE,"1,90",,"0,0052",0,0,0,2026-09-11,KAP genel bilgiler
DZG,"0,25",,"0,000685",0,0,0,2026-09-11,KAP genel bilgiler
DZM,"1,5",2,"0,00411",,,,2026-09-11,KAP genel bilgiler
DZP,"0,2625",,"0,0007192",,,,2026-09-11,KAP genel bilgiler
DZS,"1,5",,"0,00411",,,,2026-09-11,KAP genel bilgiler
EBD,"1,94","1,94","0,005320",,,,2026-09-11,KAP genel bilgiler
EBI,,"0,65",,,,,2026-09-11,KAP genel bilgiler
EBS,"0,95","0,95","0,0026027397",,,,2026-09-11,KAP genel bilgiler
EC2,"2,74","2,74","0,007510",,,,2026-09-11,KAP genel bilgiler
