tarih,fonKodu,fiyat,kisiSayisi,portfoyBuyukluk,tedPaySayisi
2026-09-04,BSC,0.13755,41,131680465.4,957330904
2026-09-04,BSD,1.204461,92,360317392.41,299152496
2026-09-04,BSE,0.395211,65,276531335.36,699706389
2026-09-04,BSF,1.237347,1,6995345481.45,5653503590
2026-09-04,BSH,1.009252,130,8376830.25,8300040
2026-09-04,BSM,1.796757,2794,2209621312.78,1229782874
2026-09-04,BSN,0.784437,18,594372505.6,757705538
2026-09-04,BST,10.259218,554,38930327.8,3794668
2026-09-04,BTE,5.12437,1028,220987390.39,43124788
2026-09-04,BTJ,1.387145,56,12440612.61,8968505
2026-09-04,BTK,1.672323,2149,327201952.98,195657164
2026-09-04,BTP,0.603461,19,755768720.38,1252390408
2026-09-04,BTY,59.864161,2,638744256.79,10669894
2026-09-04,BTZ,1.22042,194,7524633.42,6165612
2026-09-04,BUB,1.294837,2637,111995904.21,86494207
2026-09-04,BUC,0.790143,23,1271379.06,1609050
2026-09-04,BUP,4.225946,1,14177108003.41,3354777076
2026-09-04,BUT,1.807156,4,165277936.51,91457465
2026-09-04,BUV,1.234851,236,13161797.33,10658609
2026-09-04,BUY,1.666427,16538,313240024.93,187971082
2026-09-04,BV1,1.667281,489,84192134.74,50496655
2026-09-04,BVB,4.666674,1,5016688391.03,1075003028
2026-09-04,BVC,4.417875,1,7162886466.72,1621342207
2026-09-04,BVD,1.417714,378,242241237.9,170867498
2026-09-04,BVF,1.435706,557,1857060688.98,1293482848
2026-09-04,BVH,2.070679,13,140457548.85,67831653
2026-09-04,BVI,2.852227,27,284440562.06,99725773
2026-09-04,BVK,1.05999,21,28479.82,26868
2026-09-04,BVM,1.288119,126,13348452.68,10362751
2026-09-04,BVT,5.544115,10,20764189.65,3745267
2026-09-04,BVV,3.440161,1116,187620423.44,54538276
2026-09-04,BVZ,4.561275,620,3075873850.26,674345167
2026-09-04,BYZ,1.397878,40,114824305.69,82141874
2026-09-04,CAH,1.231524,208,18698489.77,15183212
2026-09-04,CBD,0.096341,17,1099250411.42,11409975961
2026-09-04,CBN,46.764728,6,597960979.47,12786581
2026-09-04,CBO,226.509739,3,1638855498.01,7235254
2026-09-04,CEY,67.371519,3,223298520.27,3314435
2026-09-04,CFO,2.554656,465,1871636816.95,732637417
2026-09-04,CGD,58.845713,2,651394616.26,11069534
2026-09-04,CHY,0.146623,41,141148721.1,962664615
2026-09-04,CIN,1.727002,520,20884080.35,12092677
2026-09-04,CJD,52.033185,1693,7123233361.21,136897893
2026-09-04,CJF,65.680059,3,1643132951.74,25017227
2026-09-04,CJG,66.532169,1,2015507821.17,30293734
2026-09-04,CJH,62.510624,1711,3075207209.68,49194953
2026-09-04,CKF,2.123554,2910,698596837.56,328975266
2026-09-04,CKL,1.600884,1250,783801903.85,489605586
2026-09-04,CKS,61.619333,2382,5647373934.12,91649385
2026-09-04,COT,59.767934,195,555275781.37,9290530
2026-09-04,CPT,3.663027,14438,940129592.99,256653761
2026-09-04,CPU,3.864908,17749,1661022062.28,429770194
2026-09-04,CRL,49.722876,3,1069041836.37,21500000
2026-09-04,CSD,65.083588,1,678219738.67,10420749
2026-09-04,CSH,3.761666,54,5952169082.61,1582322640
2026-09-04,CTF,9.321516,1,348359563.43,37371557
2026-09-04,CTG,7.566023,1,16390305.02,2166304
2026-09-04,CTM,6.34808,1,16393104.14,2582372
2026-09-04,CTP,63.349686,1,573433120.83,9051870.001
2026-09-04,CTV,10.825175,4,205037180.97,18940772
2026-09-04,CVA,4.22235,1,9757730942.26,2310971747
2026-09-04,CVB,4.280868,5,2025346535.09,473115896
2026-09-04,CVC,2.927234,2,735103833.81,251125767
2026-09-04,CVD,64.730063,2,1105886717.25,17084592
2026-09-04,CVE,2.821303,1,310406123.1,110022256
2026-09-04,CVF,4.830682,1,998903514.49,206783109
2026-09-04,CVK,5.160001,1895,632195667.7,122518522
2026-09-04,CVL,1.59469,1298,82843824.6,51949783
2026-09-04,CYD,58.458827,408,1451262020.24,24825370
2026-09-04,DA1,49.111198,39,5142482.62,104711
2026-09-04,DAC,73.777503,1,523993867.18,7102353
2026-09-04,DAE,2.713091,1,1017967492.1,375205792
2026-09-04,DAH,3.558828,2521,575148921.24,161611900
2026-09-04,DAI,97.27926,4,374465325.29,3849385
2026-09-04,DAL,72.766442,1,698291150.62,9596335
2026-09-04,DAP,1.033464,798,1417626544.7,1371723249
2026-09-04,DAS,55.665396,25300,116572388767.52,2094162565.31
2026-09-04,DAT,99.467913,6,276778219.84,2782588
2026-09-04,DAV,58.679654,224,1210950715.78,20636637
2026-09-04,DAZ,13.562506,4,334273506,24646884
2026-09-04,DB2,2.121763,11,6582947.54,3102584
2026-09-04,DBA,0.757673,25254,9964906058.59,13151994289
2026-09-04,DBB,0.115619,2030,309065080.78,2673144838.85
2026-09-04,DBG,0.666351,4,2744673242.8,4118962935
2026-09-04,DBH,0.386879,8668,987563102.13,2552640700
2026-09-04,DBK,0.122801,85325,784515141.35,6388522106
2026-09-04,DBP,0.504774,1064,164146119.33,325187100
2026-09-04,DBZ,0.142566,2846,710821251.28,4985908700
2026-09-04,DCB,4.838221,22270,140702281910.78,29081410243
2026-09-04,DCD,66.597702,1,251950760.19,3783175
2026-09-04,DCE,74.66672,3,1299156052.48,17399399
2026-09-04,DCN,1.459065,2135,2498937925.09,1712698205
2026-09-04,DCP,72.20698,3,251806101.79,3487282
2026-09-04,DCV,47.920094,23,37826541.05,789366.999
2026-09-04,DDA,12.796947,1025,306870098.77,23979946
2026-09-04,DDC,10.641693,11,2896781878.05,272210632
2026-09-04,DDE,75.694651,1,417461527.17,5515073
2026-09-04,DDF,12.479387,620,95962720.15,7689698
2026-09-04,DDP,73.898769,1,77301216.39,1046042
2026-09-04,DEF,2.737773,91,70959526.11,25918706
2026-09-04,DEH,0.957184,206,26621327.09,27812140
2026-09-04,DEI,0.038168,13,6610573.6,173196936
2026-09-04,DFC,3.276653,1513,109851957.8,33525661
2026-09-04,DFD,2.762753,444,145612626.96,52705619
2026-09-04,DFI,6.141672,49333,31889047438.49,5192242000
2026-09-04,DFO,3.956315,2,1169626942.32,295635450
2026-09-04,DGF,1.521305,486,116934510.11,76864630
2026-09-04,DGH,10.950401,249,3464882336.82,316416034
2026-09-04,DHI,0.400762,46,2118298018.63,5285672299
2026-09-04,DHJ,6.769572,2925,211705300.44,31273068
2026-09-04,DHM,5.316519,1126,25455737.58,4788046
2026-09-04,DHP,4.235409,1,7994305.18,1887493
2026-09-04,DHS,298.588688,1,3942964543.23,13205338
2026-09-04,DHT,1.143861,773,74917303.85,65495098
2026-09-04,DHV,2.430593,1014,426735918.21,175568645
2026-09-04,DID,1.462584,158,28608411.86,19560179
2026-09-04,DIH,2.441085,11,186151721.33,76257782
2026-09-04,DIM,50.5498,1,115633071.41,2287508
2026-09-04,DIP,1.602713,1927,57219377208.4,35701581588
